"","name","elected","ideology","list","party_member","party","age","sex","educ"
"1","Valerio Patricio Canipa Tarque","0","-1.24151948319811","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","45+","Hombre","Educacion Superior"
"2","Pollyana Duendy Alejandra Rivera Bigas","1","0.595456546951505","Vamos por Chile","Independiente","Independiente - Union Democrata Independiente (UDI)","45+","Mujer","Educacion Superior"
"3","Maria Rosa Calatayud Saavedra","0","0.0293665419464854","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","45+","Mujer","Educacion Superior"
"4","Francisco Javier Gonzalez Silva","0","-1.13233540000495","Vamos por Chile","Independiente","Independiente - Evolucion Politica (Evopoli)","45+","Hombre","Educacion Superior"
"5","Brunella de Lourdes Vinet Mattasoglio","0","0.871580021270346","Vamos por Chile","Independiente","Independiente - Evolucion Politica (Evopoli)","45+","Mujer","Educacion Superior"
"6","Hector Milla Bravo","0","0.492583735619482","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","45+","Hombre","Educacion Superior"
"7","Romina Alejandra Le Blanc Ampuero","0","-1.24671497780317","Independiente","Independiente","null","45+","Mujer","Educacion Superior"
"8","Rodrigo Leonardo Munoz Ponce","0","-0.074535872960528","Independiente","Independiente","null","45+","Hombre","Educacion Superior"
"9","Gigliola Maria Carlevarino Weitzel","0","-1.29282566167577","Arica Siempre Arica","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"10","Cristian Gustavo Pinto Cortez","0","0.234320362555306","Arica Siempre Arica","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"11","Jose Isaac Barraza Llerena","0","0.331206660760045","Sumate Ahora","Independiente","null","45+","Hombre","Educacion Superior"
"12","Milene Rossina Molina Arancibia","0","-1.27580830675233","Sumate Ahora","Independiente","null","45+","Mujer","Educacion Media"
"13","Yarllette Isabel Marambio Flor","0","-1.09951730338508","Sumate Ahora","Independiente","null","Hasta 44","Mujer","Educacion Media"
"14","Rebeca Alicia de Las Mercedes Butron Catalan","0","-1.63200236027884","Sumate Ahora","Independiente","null","Hasta 44","Mujer","Educacion Media"
"15","Carolina Eliana Videla Osorio","1","-1.37389431924186","Apruebo Dignidad","Militante de Partido","Partido Comunista (PC)","45+","Mujer","Educacion Superior"
"16","Sheila Marianella Sanchez Copaja","0","-1.46742829556198","Apruebo Dignidad","Independiente","Independiente - Federacion Regionalista Verde Social (FRVS)","45+","Mujer","Educacion Superior"
"17","Hermann Roberto Mondaca Raiteri","0","-1.4555524410728","Apruebo Dignidad","Independiente","Independiente - Federacion Regionalista Verde Social (FRVS)","45+","Hombre","Educacion Superior"
"18","Oscar Boris Palleres Flores","0","-1.40590579251259","Apruebo Dignidad","Independiente","Independiente - Comunes (COM)","45+","Hombre","Educacion Superior"
"19","Rodrigo Alejandro Venegas Vergara","0","-1.28298445523057","Independientes por una Nueva Constitucion","Independiente","null","45+","Hombre","Educacion Superior"
"20","Edwin Rene Briceno Cobb","0","-1.65878266623089","Independientes por una Nueva Constitucion","Independiente","null","45+","Hombre","Educacion Superior"
"21","Enzo Fabian Varens alvarez","0","-0.8630441524869","Lista del Apruebo","Militante de Partido","Partido Socialista (PS)","Hasta 44","Hombre","Educacion Superior"
"22","Willi Hans Zuchel Balcarce","0","-1.16690724607353","Arica Siempre Arica","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"23","Iris Andrea Rubio Medina","0","-1.19791650719525","Lista del Apruebo","Independiente","Independiente - Partido Progresista (PRO)","45+","Mujer","Educacion Superior"
"24","Hortencia Cecilia Hidalgo Caceres","0","-1.27911268936811","Lista del Apruebo","Militante de Partido","Partido Socialista (PS)","Hasta 44","Mujer","Educacion Superior"
"25","Jorge Bruno Abarca Riveros","1","-1.20156270262918","Lista del Apruebo","Independiente","Independiente - Partido Liberal (PL)","45+","Hombre","Educacion Superior"
"26","Raul Castro Letelier","0","0.8287990455101","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","45+","Hombre","Educacion Superior"
"27","Ernestina del Carmen Silva Villegas","0","-1.18540996861433","Lista del Apruebo","Militante de Partido","Partido Radical (PR)","45+","Mujer","Educacion Superior"
"28","Sara Fernanda Villarroel San Martin","0","-1.07500914284459","Independientes por una Nueva Constitucion","Independiente","Independiente","Hasta 44","Mujer","Educacion Superior"
"29","Judith Ester Luna Duarte","0","-1.58547603787374","Independientes por una Nueva Constitucion","Independiente","Independiente","Hasta 44","Mujer","Educacion Superior"
"30","Catalina Daniela Cabrera Maldonado","0","-1.20945907088424","Independientes por una Nueva Constitucion","Independiente","Independiente","45+","Mujer","Educacion Superior"
"31","Camila Paz Castillo Guerrero","0","-1.16721167447919","Apruebo Dignidad","Militante de Partido","Revolucion Democratica (RD)","Hasta 44","Mujer","Educacion Superior"
"32","Karen Rose Heyne Bolados","0","0.995801349460863","Vamos por Chile","Independiente","Independiente - Renovacion Nacional (RN)","45+","Mujer","Educacion Superior"
"33","Luz Eliana Nunez Salazar","0","0.248822078598179","Vamos por Chile","Independiente","Independiente - Renovacion Nacional (RN)","45+","Mujer","Educacion Superior"
"34","Roxana Elena Cerda Norambuena","0","0.779049478479195","Vamos por Chile","Independiente","Independiente - Union Democrata Independiente (UDI)","45+","Mujer","Educacion Superior"
